股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430090,同辉信息,2022-04-27,4.55,4.77,4.37,4.68,4.54,1618425.0,7415818.0,434986133.4,717600765.96,0.03083700440528636,4.680000000000004,4.550000000000004,4.770000000000004,4.3700000000000045
bj430090,同辉信息,2022-04-28,4.74,4.74,4.53,4.55,4.68,807601.0,3702154.0,422903185.25,697667411.35,-0.02777777777777779,4.550000000000004,4.740000000000005,4.740000000000005,4.530000000000005
bj430090,同辉信息,2022-04-29,4.64,4.78,4.59,4.78,4.55,1336109.0,6295546.0,444280708.9,732934115.66,0.05054945054945059,4.780000000000005,4.640000000000004,4.780000000000005,4.590000000000004
bj430090,同辉信息,2022-05-05,4.71,4.88,4.71,4.86,4.78,1117127.0,5365206.0,451716369.3,745200795.4200001,0.01673640167364021,4.860000000000005,4.710000000000004,4.880000000000004,4.710000000000004
bj430090,同辉信息,2022-05-06,4.78,4.88,4.71,4.81,4.86,930581.0,4452699.0,447069081.55,737534120.5699999,-0.010288065843621519,4.810000000000004,4.780000000000005,4.880000000000004,4.710000000000004
bj430090,同辉信息,2022-05-09,4.8,4.9,4.75,4.83,4.81,742940.0,3582397.0,448927996.65,740600790.51,0.004158004158004269,4.8300000000000045,4.800000000000004,4.900000000000005,4.750000000000004
bj430090,同辉信息,2022-05-10,4.76,4.87,4.74,4.84,4.83,775567.0,3747853.0,449857454.2,742134125.4799999,0.0020703933747412417,4.840000000000004,4.760000000000004,4.8700000000000045,4.740000000000005
bj430090,同辉信息,2022-05-11,4.87,5.01,4.86,4.87,4.84,1335758.0,6605359.0,452645826.85,746734130.3900001,0.006198347107438051,4.8700000000000045,4.8700000000000045,5.010000000000004,4.860000000000005
bj430090,同辉信息,2022-05-12,4.87,4.93,4.84,4.86,4.87,777380.0,3779652.0,451716369.3,745200795.4200001,-0.002053388090349051,4.860000000000005,4.8700000000000045,4.930000000000003,4.840000000000004
bj430090,同辉信息,2022-05-13,4.92,5.4,4.85,5.37,4.86,4411323.0,22927298.0,499118704.35,823400878.89,0.1049382716049383,5.370000000000005,4.920000000000004,5.400000000000006,4.850000000000004
